"category","month_year","volume_product","sales_product"
livros_interesse_geral,"05-2017",20,1841.57
livros_interesse_geral,"03-2017",25,2648.96
eletroportateis,"09-2017",33,10965.63
fashion_underwear_e_moda_praia,"03-2018",5,289.4
fashion_calcados,"05-2018",10,1582.7
climatizacao,"08-2018",21,3556.9
portateis_casa_forno_e_cafe,"07-2018",15,4699.67
telefonia,"10-2016",10,500.08
artigos_de_festas,"11-2017",4,870.69
industria_comercio_e_negocios,"05-2018",41,3890.99
papelaria,"02-2017",19,2341.4
fashion_underwear_e_moda_praia,"06-2017",1,3.9
instrumentos_musicais,"07-2018",37,9541.8
construcao_ferramentas_construcao,"06-2018",113,22947.72
automotivo,"10-2017",150,21505.28
fashion_roupa_infanto_juvenil,"09-2017",1,89.99
pc_gamer,"02-2018",1,129.99
bebes,"02-2018",176,25985.82
fashion_bolsas_e_acessorios,"10-2016",9,508.3
la_cuisine,"08-2017",2,313.0
casa_construcao,"11-2017",38,4936.72
sinalizacao_e_seguranca,"07-2018",29,3785.19
market_place,"02-2018",28,1920.92
alimentos,"10-2017",17,806.06
relogios_presentes,"02-2017",37,11756.21
construcao_ferramentas_jardim,"04-2018",18,1326.79
esporte_lazer,"02-2017",156,16372.16
construcao_ferramentas_jardim,"03-2018",23,2497.23
fashion_underwear_e_moda_praia,"02-2017",8,396.97
bebidas,"11-2017",19,748.61
tablets_impressao_imagem,"02-2017",8,792.0
pc_gamer,"06-2017",1,129.99
"","04-2018",76,8240.66
moveis_escritorio,"09-2017",61,9208.65
moveis_cozinha_area_de_servico_jantar_e_jardim,"11-2017",33,5007.39
artes_e_artesanato,"08-2018",9,901.76
construcao_ferramentas_seguranca,"02-2018",8,5965.75
cama_mesa_banho,"02-2017",165,16282.73
casa_construcao,"10-2017",18,4201.17
moveis_sala,"02-2017",24,3791.63
relogios_presentes,"01-2017",11,8086.52
automotivo,"02-2017",86,13162.4
cool_stuff,"02-2017",70,13323.6
agro_industria_e_comercio,"08-2018",18,5021.09
artigos_de_natal,"11-2017",24,1340.58
informatica_acessorios,"01-2017",31,3924.14
fashion_calcados,"10-2017",18,1860.92
papelaria,"07-2017",80,7091.75
instrumentos_musicais,"02-2018",44,9015.73
eletroportateis,"12-2017",29,8913.77
audio,"10-2016",2,156.99
alimentos,"06-2018",24,1371.18
climatizacao,"08-2017",15,4271.73
climatizacao,"06-2017",11,2084.48
eletrodomesticos,"08-2017",49,4587.05
moveis_escritorio,"10-2017",102,17890.83
alimentos_bebidas,"08-2018",21,1028.61
moveis_sala,"10-2017",19,1532.79
moveis_sala,"01-2018",22,2308.1
moveis_escritorio,"04-2018",133,20194.72
malas_acessorios,"01-2018",128,18738.22
fashion_calcados,"09-2017",14,1179.6
construcao_ferramentas_jardim,"04-2017",8,1490.21
livros_interesse_geral,"03-2018",39,1711.93
market_place,"10-2016",13,1306.19
fashion_calcados,"07-2017",20,1423.01
fashion_roupa_masculina,"11-2017",12,929.99
eletrodomesticos_2,"05-2017",9,3093.04
construcao_ferramentas_jardim,"09-2017",6,297.5
ferramentas_jardim,"01-2017",58,8152.75
market_place,"03-2018",17,1548.74
alimentos_bebidas,"10-2017",17,2297.23
climatizacao,"05-2018",15,2051.2
cool_stuff,"07-2018",121,30551.61
livros_interesse_geral,"05-2018",53,6019.03
audio,"05-2017",17,2081.18
"","06-2017",63,5527.79
bebes,"02-2017",34,3048.48
climatizacao,"09-2017",8,1731.05
market_place,"03-2017",17,1808.59
malas_acessorios,"08-2018",66,6847.91
moveis_sala,"01-2017",10,1241.9
eletroportateis,"02-2017",28,7251.58
tablets_impressao_imagem,"03-2017",5,495.0
malas_acessorios,"11-2017",72,8538.95
eletronicos,"12-2017",210,8537.51
moveis_sala,"11-2017",39,6212.95
perfumaria,"01-2017",34,5112.6
eletrodomesticos,"06-2018",67,5916.37
climatizacao,"02-2017",12,3095.3
industria_comercio_e_negocios,"11-2017",7,2074.77
fashion_roupa_masculina,"07-2017",9,719.99
artes,"03-2018",7,461.5
fashion_calcados,"06-2017",20,1351.2
papelaria,"06-2017",38,3493.57
fashion_bolsas_e_acessorios,"09-2017",124,11948.22
instrumentos_musicais,"02-2017",9,2221.28
